"ALLOU! FUN PARK"," ","23.67650","37.97604","","Αγ. Ιωαννης Ρεντης","Κηφισου Λεωφορος & Ραλλη Π.",""
"INTERNATIONAL"," ","23.73248","37.87448","","Γλυφαδα","Διαδοχου Παυλου","2"
"TIVOLY"," ","23.66803","37.94496","","Πειραιας","Ζερβου Σπ.","2"
"Αλεξανδρούπολη","","25.875126","40.843238","68100","Αλεξανδρούπολη","Καραολή και Δημητρίου",""
"Αττική-Σπάτα-Blanos Sports Park","Bowling - Παγοδρόμιο - Παιδότοπος - Luna Park-Μπιλιάρδα-Παιχνίδια-Καφέ-Εστιατόριο τηλ. 2106635835 κάθε μέρα 10.00 το πρωί με 02.00 τη νύχτα","23.929951","37.974439","19004","Σπάτα Αττικής","Πικερμίου",""
"Θεσσαλονίκη-Magic Park","www.magicpark.gr Τηλ: 2310476770 - 1","22.990875","40.554528","55535","Θεσσαλονίκη","Θεσ/νίκης - Αεροδρομίου","12o χλμ"
"Κατερίνη-Παραλία","","22.593977","40.258848","","Παραλία Κατερίνης","",""
"ΚΟΤΣΑΝΑΣ Γ & ΣΙΑ ΕΕ"," ","22.73250","37.63448","","Αργος","Καραολη & Δημητριου","5"
"ΠΑΣΔΑΣ ΝΙΚΟΛΑΟΣ Φ."," ","21.76526","39.54539","","Τρικαλα","Ζωοδοχου Πηγης","16"
"ΤΑ ΑΗΔΟΝΑΚΙΑ"," ","23.80064","38.04238","","Μαρουσι","Διονυσου","155"
"ΤΑ ΑΗΔΟΝΑΚΙΑ"," ","23.72843","38.04528","","Ιλιον","Δημοκρατιας Λεωφορος","69"
"ΤΑ ΑΗΔΟΝΑΚΙΑ"," ","23.72890","38.01905","","Αθηνα","Αχαρνων","373"
"ΤΑ ΑΗΔΟΝΑΚΙΑ"," ","23.79855","38.02117","","Χαλανδρι","Παπανδρεου Ανδ.","35"
"ΤΑ ΑΣΤΕΡΑΚΙΑ FUN PARK"," ","23.58868","38.46347","","Χαλκιδα","Αρχιεπισκοπου Μακαριου","3"
